news_media,Tweet,Tweet_Date,Sentiment_Compound,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,News_Media
,"SOON: Rev. Billy Graham will be laid to rest in Charlotte, North Carolina; President Trump is attending the funeral https://t.co/Q2j2ZiBqRa https://t.co/w4i45hi1vO",2018-03-02 17:00:16,-0.3612,0.0,0.889,0.111,@CBSNews
,"NEW: Victims in fatal shooting at Central Michigan University were the suspect's parents, @WWJ950 reports. The suspect remains at large, according to police. https://t.co/e5ktDziHFM https://t.co/Ije3mrimEl",2018-03-02 16:40:24,-0.7906,0.0,0.733,0.267,@CBSNews
,"National Security Adviser H.R. McMaster, who has long been the subject of rumors about his ouster, is in real jeopardy of losing his job, sources tell @MajorCBS https://t.co/fj6kXe1elj https://t.co/LQ0oKi0NtW",2018-03-02 16:30:02,-0.5106,0.07,0.762,0.167,@CBSNews
,"HAPPENING SOON: Rev. Billy Graham will be laid to rest in Charlotte, North Carolina; President Trump is attending the funeral https://t.co/Q2j2ZiBqRa https://t.co/sWtIxTbDBQ",2018-03-02 16:19:35,-0.3612,0.0,0.894,0.106,@CBSNews
,"White House chief of staff John Kelly's comment that God punished him when he left the Department of Homeland Security for the West Wing aggravated President Trump and was not well received, @MajorCBS reports https://t.co/Wnqq0UTJX3 https://t.co/MJ4jFYJdM3",2018-03-02 16:10:08,-0.4963,0.104,0.717,0.179,@CBSNews
,"JUST IN: Two people have been fatally shot at Central Michigan University, campus police say; deceased are not students, and police believe situation started from a ""domestic situation."" Suspect remains at large. https://t.co/e5ktDziHFM https://t.co/5eajWeRuvY",2018-03-02 15:56:42,-0.7506,0.0,0.829,0.171,@CBSNews
,"Michigan Gov. Rick Snyder says he is ""in constant contact"" with Michigan State Police; says priority is ""the safety of those still on campus"" at Central Michigan University https://t.co/e5ktDziHFM https://t.co/ARV0SvVOL2",2018-03-02 15:41:14,0.4215,0.088,0.912,0.0,@CBSNews
,"City of Mt. Pleasant, Michigan, releases description of reported Central Michigan University shooting suspect, who they say is considered armed and dangerous https://t.co/e5ktDziHFM https://t.co/Jhix0FT0EA",2018-03-02 15:34:06,-0.25,0.111,0.709,0.179,@CBSNews
,NEW: Two people have been shot at Central Michigan University; suspected gunman is still at large and considered armed and dangerous https://t.co/e5ktDziHFM https://t.co/eJPwTSL6G2,2018-03-02 15:16:50,-0.6124,0.0,0.808,0.192,@CBSNews
,"Hard numbers:
?? 49,780,000: The U.S. has more immigrants than any other country in the world
?? 2: Leaders of parties that will likely come in 1st and 2nd in Italian election are both disqualified from taking public office
 https://t.co/6RZpnQF8zu  (@gzeromedia) https://t.co/vJWvclsv5c",2018-03-02 15:09:13,-0.128,0.059,0.85,0.092,@CBSNews
,"Russian President Vladimir Putin touted his country's ""invincible"" nuclear weapons in a Thursday speech, sparking new Cold War fears. Here's what you need to know: https://t.co/6RZpnQF8zu (@gzeromedia) https://t.co/v5Q1hUOvth",2018-03-02 15:02:58,-0.8689,0.0,0.68,0.32,@CBSNews
,"SEC dropped probe shortly after financial company gave a loan to Jared Kushner's family firm, report says: https://t.co/HCa8a2v56A https://t.co/yGbW5HeRdR",2018-03-02 15:00:02,0.0,0.0,1.0,0.0,@CBSNews
,DEVELOPING: Police are responding to reports of shots fired on Central Michigan University's campus; authorities urging students and staff to remain clear of area https://t.co/e5ktDziHFM https://t.co/uMT2jNJOSU,2018-03-02 14:48:32,-0.25,0.086,0.795,0.119,@CBSNews
,Republicans in Georgia state legislature have approved a big tax hit on Delta over over its NRA stand: https://t.co/Lmgm5RDoiZ https://t.co/aIwaHbo6Dr,2018-03-02 14:45:01,0.4215,0.135,0.865,0.0,@CBSNews
,"Syrian warplanes struck several areas in the decimated rebel-held suburbs of Damascus on Friday morning before the ""humanitarian pause"" began, a monitoring group says. Some students are brave enough to attend classes as the war rages around them: https://t.co/SXuG9oqsVu https://t.co/lzLKwEzWMS",2018-03-02 14:30:01,-0.6808,0.072,0.738,0.19,@CBSNews
,"World stock markets posted steep declines Friday, adding to global losses after President Trump vowed to impose stiff steel and aluminum tariffs, sparking fears of a trade war: https://t.co/ErdqUqbwpZ https://t.co/tQhMZYA33w",2018-03-02 14:15:01,-0.891,0.0,0.683,0.317,@CBSNews
,A new report by USA Today Network and Kaiser Health News found more than 260 patients have died after surgery center procedures since 2013: https://t.co/PJmj5pYs2d https://t.co/ZDBVSSRAn1,2018-03-02 14:00:02,-0.5574,0.0,0.87,0.13,@CBSNews
,"“Do we look back at the end of the show and say this is an Oscars that acknowledged the change, that acknowledged this turn in Hollywood history that was unprecedented?” @jodikantor says https://t.co/K3VfFsNsye",2018-03-02 13:42:12,0.0,0.0,1.0,0.0,@CBSNews
,"President Trump is arguing for steep tariffs on steel and aluminum imports, saying ""trade wars are good"" https://t.co/rCe8LVDH32 https://t.co/3INsorBNQD",2018-03-02 13:40:01,-0.5719,0.114,0.627,0.259,@CBSNews
,"“There is an incredible moment of awkwardness here, and it highlights, in many ways, what many people say is the problem with the red carpet,” @jodikantor says https://t.co/ts0zHLA8sh",2018-03-02 13:39:29,-0.5267,0.0,0.855,0.145,@CBSNews
,"#MeToo has redefined the red carpet during this year's awards season after months of sexual misconduct allegations in Hollywood. Ryan Seacrest will host E! News' pre-show before Sunday's Oscars, despite harassment claims made against him. @jodikantor joins @CBSThisMorning: https://t.co/FPDX0oQxPu",2018-03-02 13:36:40,0.7304,0.142,0.858,0.0,@CBSNews
